Timestamp,Device,Location,Incident_Type,Severity,CPU_Usage,Memory_Usage,Packet_Loss_Percentage,Resource_Stress,Network_Stress
2026-05-18 01:16:03.235966,R1-Core,Mumbai,Interface Down,Major,67,62,3.7,129,37.0
2026-05-18 01:21:03.235966,FW1-Perimeter,Mumbai,High CPU Usage,Warning,22,30,0.28,52,2.8
2026-05-18 01:26:03.235966,FW1-Perimeter,Mumbai,Memory Utilization High,Warning,54,43,0.66,97,6.6
2026-05-18 01:31:03.235966,SW1-Access,Mumbai,Packet Loss,Warning,65,77,5.11,142,51.1
2026-05-18 01:36:03.235966,R2-Branch,Delhi,High CPU Usage,Critical,95,83,8.65,178,86.5
2026-05-18 01:41:03.235966,SW1-Access,Pune,Route Flapping,Warning,83,69,5.68,152,56.8
2026-05-18 01:46:03.235966,R1-Core,Pune,BGP Neighbor Down,Major,79,66,5.89,145,58.9
2026-05-18 01:51:03.235966,R2-Branch,Pune,Route Flapping,Critical,92,83,10.66,175,106.6
2026-05-18 01:56:03.235966,SW1-Access,Delhi,BGP Neighbor Down,Major,33,51,0.8,84,8.0
2026-05-18 02:01:03.235966,FW1-Perimeter,Delhi,Packet Loss,Warning,35,35,1.39,70,13.9
2026-05-18 02:06:03.235966,FW1-Perimeter,Delhi,Latency Spike,Warning,84,79,3.28,163,32.8
2026-05-18 02:11:03.235966,R1-Core,Pune,Memory Utilization High,Warning,24,36,2.74,60,27.4
2026-05-18 02:16:03.235966,SW1-Access,Delhi,Packet Loss,Warning,72,75,5.29,147,52.9
2026-05-18 02:21:03.235966,R2-Branch,Delhi,Route Flapping,Warning,77,63,6.74,140,67.4
2026-05-18 02:26:03.235966,FW1-Perimeter,Bangalore,Latency Spike,Warning,28,46,1.48,74,14.8
2026-05-18 02:31:03.235966,R1-Core,Mumbai,Memory Utilization High,Warning,30,55,2.04,85,20.4
2026-05-18 02:36:03.235966,R1-Core,Bangalore,Memory Utilization High,Warning,49,46,0.75,95,7.5
2026-05-18 02:41:03.235966,R1-Core,Mumbai,BGP Neighbor Down,Major,77,79,4.33,156,43.3
2026-05-18 02:46:03.235966,SW1-Access,Bangalore,Packet Loss,Warning,20,53,2.63,73,26.3
2026-05-18 02:51:03.235966,FW1-Perimeter,Delhi,BGP Neighbor Down,Major,26,50,0.9,76,9.0
2026-05-18 02:56:03.235966,R2-Branch,Delhi,Memory Utilization High,Warning,30,47,2.86,77,28.6
2026-05-18 03:01:03.235966,R1-Core,Pune,Latency Spike,Warning,27,41,2.64,68,26.4
2026-05-18 03:06:03.235966,SW1-Access,Delhi,Route Flapping,Warning,56,32,0.26,88,2.6
2026-05-18 03:11:03.235966,R1-Core,Delhi,Memory Utilization High,Warning,50,47,0.5,97,5.0
2026-05-18 03:16:03.235966,FW1-Perimeter,Bangalore,BGP Neighbor Down,Critical,91,89,10.79,180,107.9
2026-05-18 03:21:03.235966,SW1-Access,Bangalore,High CPU Usage,Critical,99,83,9.74,182,97.4
2026-05-18 03:26:03.235966,FW1-Perimeter,Delhi,Interface Down,Major,20,32,2.12,52,21.2
2026-05-18 03:31:03.235966,R1-Core,Pune,High CPU Usage,Warning,35,38,2.01,73,20.1
2026-05-18 03:36:03.235966,FW1-Perimeter,Delhi,Latency Spike,Warning,78,73,5.36,151,53.6
2026-05-18 03:41:03.235966,SW2-Distribution,Bangalore,Route Flapping,Warning,26,51,1.29,77,12.9
2026-05-18 03:46:03.235966,SW2-Distribution,Bangalore,BGP Neighbor Down,Critical,86,83,8.42,169,84.2
2026-05-18 03:51:03.235966,SW1-Access,Mumbai,Route Flapping,Warning,32,47,1.35,79,13.5
2026-05-18 03:56:03.235966,R2-Branch,Pune,Latency Spike,Warning,24,44,2.42,68,24.2
2026-05-18 04:01:03.235966,FW1-Perimeter,Mumbai,Latency Spike,Warning,54,30,2.91,84,29.1
2026-05-18 04:06:03.235966,R2-Branch,Delhi,Interface Down,Major,50,36,2.59,86,25.9
2026-05-18 04:11:03.235966,R1-Core,Bangalore,BGP Neighbor Down,Warning,49,39,1.27,88,12.7
2026-05-18 04:16:03.235966,FW1-Perimeter,Bangalore,Memory Utilization High,Warning,38,36,2.91,74,29.1
2026-05-18 04:21:03.235966,FW1-Perimeter,Mumbai,Memory Utilization High,Warning,61,56,5.92,117,59.2
2026-05-18 04:26:03.235966,FW1-Perimeter,Delhi,Interface Down,Major,52,32,2.55,84,25.5
2026-05-18 04:31:03.235966,R2-Branch,Bangalore,Interface Down,Major,56,37,1.74,93,17.4
2026-05-18 04:36:03.235966,SW2-Distribution,Pune,Memory Utilization High,Critical,91,90,9.67,181,96.7
2026-05-18 04:41:03.235966,R2-Branch,Pune,Memory Utilization High,Warning,24,30,1.37,54,13.7
2026-05-18 04:46:03.235966,R1-Core,Mumbai,Packet Loss,Warning,52,38,0.4,90,4.0
2026-05-18 04:51:03.235966,R1-Core,Delhi,BGP Neighbor Down,Major,30,44,2.5,74,25.0
2026-05-18 04:56:03.235966,FW1-Perimeter,Mumbai,Interface Down,Warning,77,64,7.66,141,76.6
2026-05-18 05:01:03.235966,R2-Branch,Pune,Packet Loss,Warning,26,53,1.66,79,16.6
2026-05-18 05:06:03.235966,SW1-Access,Delhi,Packet Loss,Warning,66,76,6.17,142,61.7
2026-05-18 05:11:03.235966,FW1-Perimeter,Bangalore,Latency Spike,Warning,23,32,1.9,55,19.0
2026-05-18 05:16:03.235966,SW1-Access,Mumbai,High CPU Usage,Warning,28,50,2.94,78,29.4
2026-05-18 05:21:03.235966,SW2-Distribution,Bangalore,BGP Neighbor Down,Warning,27,32,2.84,59,28.4
2026-05-18 05:26:03.235966,FW1-Perimeter,Mumbai,High CPU Usage,Warning,78,72,3.74,150,37.4
2026-05-18 05:31:03.235966,R1-Core,Pune,High CPU Usage,Warning,22,41,0.63,63,6.3
2026-05-18 05:36:03.235966,R1-Core,Pune,High CPU Usage,Warning,73,74,6.75,147,67.5
2026-05-18 05:41:03.235966,R2-Branch,Delhi,Route Flapping,Critical,85,85,13.16,170,131.6
2026-05-18 05:46:03.235966,SW2-Distribution,Delhi,Latency Spike,Warning,26,42,2.62,68,26.2
2026-05-18 05:51:03.235966,SW2-Distribution,Delhi,Latency Spike,Warning,49,41,0.92,90,9.2
2026-05-18 05:56:03.235966,R2-Branch,Delhi,Latency Spike,Warning,32,42,0.98,74,9.8
2026-05-18 06:01:03.235966,R1-Core,Pune,Latency Spike,Warning,52,42,2.04,94,20.4
2026-05-18 06:06:03.235966,FW1-Perimeter,Pune,Packet Loss,Critical,88,88,9.25,176,92.5
2026-05-18 06:11:03.235966,FW1-Perimeter,Bangalore,Memory Utilization High,Warning,40,43,1.82,83,18.2
2026-05-18 06:16:03.235966,R1-Core,Bangalore,Memory Utilization High,Critical,91,88,8.31,179,83.1
2026-05-18 06:21:03.235966,FW1-Perimeter,Delhi,Memory Utilization High,Warning,24,51,2.76,75,27.6
2026-05-18 06:26:03.235966,SW1-Access,Mumbai,Route Flapping,Warning,69,71,4.55,140,45.5
2026-05-18 06:31:03.235966,SW1-Access,Bangalore,BGP Neighbor Down,Warning,77,59,3.96,136,39.6
2026-05-18 06:36:03.235966,R2-Branch,Pune,Route Flapping,Warning,20,39,0.86,59,8.6
2026-05-18 06:41:03.235966,FW1-Perimeter,Pune,Route Flapping,Warning,48,51,0.64,99,6.4
2026-05-18 06:46:03.235966,R2-Branch,Mumbai,Latency Spike,Warning,60,49,1.01,109,10.1
2026-05-18 06:51:03.235966,R2-Branch,Pune,High CPU Usage,Warning,32,34,0.07,66,0.7
2026-05-18 06:56:03.235966,SW2-Distribution,Mumbai,BGP Neighbor Down,Major,60,48,0.58,108,5.8
2026-05-18 07:01:03.235966,SW2-Distribution,Delhi,Interface Down,Major,20,54,2.58,74,25.8
2026-05-18 07:06:03.235966,R2-Branch,Delhi,Memory Utilization High,Warning,82,71,5.32,153,53.2
2026-05-18 07:11:03.235966,R2-Branch,Mumbai,Memory Utilization High,Warning,49,51,1.59,100,15.9
2026-05-18 07:16:03.235966,FW1-Perimeter,Pune,BGP Neighbor Down,Critical,99,93,13.81,192,138.1
2026-05-18 07:21:03.235966,SW2-Distribution,Delhi,High CPU Usage,Warning,75,69,4.3,144,43.0
2026-05-18 07:26:03.235966,SW1-Access,Bangalore,Packet Loss,Warning,68,69,3.39,137,33.9
2026-05-18 07:31:03.235966,R2-Branch,Pune,High CPU Usage,Warning,54,32,0.42,86,4.2
2026-05-18 07:36:03.235966,SW2-Distribution,Delhi,Memory Utilization High,Warning,62,68,5.04,130,50.4
2026-05-18 07:41:03.235966,SW2-Distribution,Bangalore,Memory Utilization High,Warning,46,42,2.71,88,27.1
2026-05-18 07:46:03.235966,R1-Core,Bangalore,Latency Spike,Warning,42,39,2.26,81,22.6
